"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV490","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV491","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__copri"
"ASV492","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV493","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__eutactus"
"ASV494","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gauvreauii_group","s__NA"
"ASV495","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__NA"
"ASV496","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__bacterium"
"ASV497","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV498","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group","s__NA"
"ASV499","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus","s__NA"
"ASV500","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__NA"
"ASV501","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Parasutterella","s__NA"
"ASV502","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__NA"
"ASV503","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV504","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania","s__NA"
"ASV505","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","s__NA"
"ASV506","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001","s__NA"
"ASV507","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_AC2044_group","s__NA"
"ASV508","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV509","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__lactis"
"ASV510","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia","s__ilealis"
"ASV511","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV512","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__copri"
"ASV513","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__oralis"
"ASV514","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia","s__NA"
"ASV515","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV516","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__NA"
"ASV517","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV518","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV519","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV520","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV521","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV522","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV523","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV524","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","g__NA","s__NA"
"ASV525","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__NA"
"ASV526","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV527","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV528","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__NA"
"ASV529","k__Bacteria","p__Campilobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter","s__cinaedi"
"ASV530","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__NA"
"ASV531","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV532","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__massiliensis"
"ASV533","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV534","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Angelakisella","s__NA"
"ASV535","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV536","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010","s__NA"
"ASV537","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__hadrus"
"ASV538","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_hallii_group","s__hallii"
"ASV539","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV540","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__ovatus"
"ASV541","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV542","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__indistinctus"
"ASV543","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__NA"
"ASV544","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus","s__NA"
"ASV545","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__NA"
"ASV546","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__cellulosilyticus"
"ASV547","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
"ASV548","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV549","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__shahii"
"ASV550","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__NA"
"ASV551","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__NA"
"ASV552","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__NA"
"ASV553","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__NA"
"ASV554","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV555","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__DTU089","s__NA"
"ASV556","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__secundus"
"ASV557","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV558","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV559","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__NA"
"ASV560","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__NA","s__NA"
"ASV561","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__intestinalis"
"ASV562","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__NA"
"ASV563","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV564","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV566","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV567","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_eligens_group","s__NA"
"ASV568","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV569","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__NA"
"ASV570","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes"
"ASV571","k__Bacteria","p__Firmicutes","c__NA","o__NA","f__NA","g__NA","s__NA"
"ASV572","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Gordonibacter","s__pamelaeae"
"ASV573","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV574","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV575","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV576","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV577","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__NA"
"ASV578","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__NA"
"ASV579","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__NA"
"ASV580","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV581","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
"ASV582","k__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__porcorum"
"ASV583","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","g__NA","s__NA"
"ASV584","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV585","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__indistinctus"
"ASV586","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__NA"
"ASV587","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV588","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__oralis"
"ASV589","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus","s__NA"
"ASV590","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV591","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_xylanophilum_group","s__NA"
"ASV592","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__stercoris"
"ASV593","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV594","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV595","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV596","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Allisonella","s__NA"
"ASV597","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV598","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sellimonas","s__NA"
"ASV599","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV600","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_xylanophilum_group","s__NA"
"ASV601","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV602","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__NA"
"ASV603","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__NA"
"ASV604","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV605","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV606","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__NA","s__NA"
"ASV607","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV608","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV609","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__NA"
"ASV610","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV611","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__nordii"
"ASV612","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__NA"
"ASV613","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__NA"
"ASV614","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__inulinivorans"
"ASV615","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__eutactus"
"ASV616","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV617","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV618","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","s__NA"
"ASV619","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__celatum"
"ASV620","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV621","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gauvreauii_group","s__NA"
"ASV622","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__NA"
"ASV623","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV624","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__acidifaciens"
"ASV625","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__hadrus"
"ASV626","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__bacterium"
"ASV627","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV628","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV629","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV630","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV631","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Varibaculum","s__NA"
"ASV632","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV633","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV634","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV635","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV636","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_hallii_group","s__NA"
"ASV637","k__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__NA","s__NA"
"ASV638","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Pygmaiobacter","s__NA"
"ASV639","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Bacteroides]_pectinophilus_group","s__NA"
"ASV640","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Flavonifractor","s__NA"
"ASV641","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV642","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__ovatus"
"ASV643","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__NA"
"ASV644","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV645","k__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__NA","g__NA","s__NA"
"ASV646","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV647","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV648","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__ramosum"
"ASV649","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV650","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV651","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV652","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV653","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia","s__NA"
"ASV654","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__NA"
"ASV655","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella","s__NA"
"ASV656","k__Bacteria","p__Firmicutes","c__NA","o__NA","f__NA","g__NA","s__NA"
"ASV657","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__NA","s__NA"
"ASV658","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV659","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV660","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__NA"
"ASV661","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia","s__NA"
"ASV662","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011","s__NA"
"ASV663","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella","s__NA"
"ASV664","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV665","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV666","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__NA"
"ASV667","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV668","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010","s__NA"
"ASV669","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__bacterium"
"ASV670","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__plebeius"
"ASV671","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV672","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella","s__NA"
"ASV673","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV674","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriales_Incertae_Sedis","g__NA","s__NA"
"ASV675","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia","s__NA"
"ASV676","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV677","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV678","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV679","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerosporobacter","s__NA"
"ASV680","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Shuttleworthia","s__NA"
"ASV681","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","s__NA"
"ASV682","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","s__NA"
"ASV683","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__NA"
"ASV684","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV685","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__NA"
"ASV686","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes"
"ASV687","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__NA"
"ASV688","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia","s__NA"
"ASV689","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV690","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV691","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia","s__ilealis"
"ASV692","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
